TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
Tbl_Cab_generacion_compras,Serie,5
Tbl_Cab_Notas_Credito,Autorizacion,3
Tbl_Cab_Notas_Credito,Id_Caja,2
Tbl_Cab_Notas_Credito,Id_Empresa,1
Tbl_Cab_Notas_Credito,Id_Tipo,5
Tbl_Cab_Notas_Credito,Numero,6
Tbl_Cab_Notas_Credito,Serie,4
Tbl_Cab_Oferta,Id_Empresa,1
Tbl_Cab_Oferta,Numero_oferta,2
Tbl_cabecera_movimientos,Id_Bodega,3
Tbl_cabecera_movimientos,Id_Empresa,1
Tbl_cabecera_movimientos,Id_Tipo,4
Tbl_cabecera_movimientos,Nit,6
Tbl_cabecera_movimientos,Numero,5
Tbl_cabecera_movimientos,Periodo,2
Tbl_cabecera_orden_produccion,Id_Empresa,1
Tbl_cabecera_orden_produccion,Id_Orden_produccion,2
Tbl_Cajas,Id_Caja,2
Tbl_Cajas,Id_Empresa,1
Tbl_Cajeros,Id_Cajero,2
Tbl_Cajeros,Id_Empresa,1
Tbl_Cargos,Id_Empresa,1
Tbl_Cargos,Nit,2
Tbl_Cargos,Numero_Factura,5
Tbl_Cargos,Serie,4
Tbl_Cargos,Tipo_Cargo,3
Tbl_Casas_Credito,Id_Casa,2
Tbl_Casas_Credito,Id_Empresa,1
tbl_cliente_gasolina,id_cliente_vale,2
tbl_cliente_gasolina,id_empresa,1
Tbl_Cliente_plantilla,Id_empresa,1
Tbl_Cliente_plantilla,Id_ente_facturador,3
Tbl_Cliente_plantilla,Id_producto,4
Tbl_Cliente_plantilla,Linea,5
Tbl_Cliente_plantilla,Nit,2
Tbl_cobros,Id_empresa,1
Tbl_cobros,Id_tipo_cobro,2
Tbl_cobros,Num_docto_cobro,3
Tbl_colores,Color,2
Tbl_colores,Id_Empresa,1
Tbl_comanda,Id_comanda,2
Tbl_comanda,Id_empresa,1
Tbl_comanda_detalle,Id_comanda,2
Tbl_comanda_detalle,Id_empresa,1
Tbl_comanda_detalle,Linea,3
Tbl_Conf_Empresa,Id,1
Tbl_Configuracion,Id,1
Tbl_configuracion_agente_retenedor_iva,Id_agente_retencion_iva,2
Tbl_configuracion_agente_retenedor_iva,Id_empresa,1
Tbl_contabiliza_abonos,Id_Empresa,1
Tbl_contabiliza_abonos,Id_Tipo_Pago,2
Tbl_contabiliza_abonos,Linea,8
Tbl_contabiliza_abonos,Nit,4
Tbl_contabiliza_abonos,Numero_Factura,7
Tbl_contabiliza_abonos,Numero_Pago,3
Tbl_contabiliza_abonos,Serie,5
Tbl_contabiliza_abonos,Tipo_Cargo,6
Tbl_contabiliza_anticipos_clientes,Id_empresa,1
Tbl_contabiliza_anticipos_clientes,Id_Numero_anticipo,2
Tbl_contabiliza_anticipos_clientes,Linea,3
Tbl_Contabiliza_Cargos,Id_Empresa,1
Tbl_Contabiliza_Cargos,Id_Tipo_Cargo,3
Tbl_Contabiliza_Cargos,Linea,6
Tbl_Contabiliza_Cargos,Nit,2
Tbl_Contabiliza_Cargos,Numero_Factura,5
Tbl_Contabiliza_Cargos,Serie,4
Tbl_Contabiliza_Cuentas_por_cobrar,Id_Empresa,1
Tbl_Contabiliza_Cuentas_por_cobrar,Linea,6
Tbl_Contabiliza_Cuentas_por_cobrar,Nit,2
Tbl_Contabiliza_Cuentas_por_cobrar,Numero_docto,5
Tbl_Contabiliza_Cuentas_por_cobrar,Serie,3
Tbl_Contabiliza_Cuentas_por_cobrar,Tipo_docto,4
Tbl_contrasenas,Id_contrasena,2
Tbl_contrasenas,Id_Empresa,1
Tbl_Cortes,fecha,2
Tbl_Cortes,Id_Empresa,1
Tbl_cotizacion_clientes,Id_Cotizacion,2
Tbl_cotizacion_clientes,Id_Empresa,1
Tbl_cotizacion_clientes_detalle,Id_Cotizacion,2
Tbl_cotizacion_clientes_detalle,Id_Empresa,1
Tbl_cotizacion_clientes_detalle,Linea,3
Tbl_cuentas_por_cobrar,Id_Empresa,1
Tbl_cuentas_por_cobrar,Nit,2
Tbl_cuentas_por_cobrar,Numero_docto,5
Tbl_cuentas_por_cobrar,Serie,3
Tbl_cuentas_por_cobrar,Tipo_docto,4
Tbl_cuentas_por_cobrar_integracion_plantilla,Id_empresa,1
Tbl_cuentas_por_cobrar_integracion_plantilla,Linea,6
Tbl_cuentas_por_cobrar_integracion_plantilla,Nit,2
Tbl_cuentas_por_cobrar_integracion_plantilla,Numero_docto,5
Tbl_cuentas_por_cobrar_integracion_plantilla,Serie,3
Tbl_cuentas_por_cobrar_integracion_plantilla,Tipo_docto,4
Tbl_cuentas_por_cobrar_retencion_iva,Id_empresa,1
Tbl_cuentas_por_cobrar_retencion_iva,Nit,2
Tbl_cuentas_por_cobrar_retencion_iva,Numero_docto,5
Tbl_cuentas_por_cobrar_retencion_iva,Serie,3
Tbl_cuentas_por_cobrar_retencion_iva,Tipo_docto,4
Tbl_departamentos,Id_depto,2
Tbl_departamentos,Id_Empresa,1
Tbl_Det_Abonos,Id_Empresa,1
Tbl_Det_Abonos,Id_Tipo_Pago,2
Tbl_Det_Abonos,Nit,4
Tbl_Det_Abonos,Numero_Factura,7
Tbl_Det_Abonos,Numero_Pago,3
Tbl_Det_Abonos,Serie,6
Tbl_Det_Abonos,Tipo_Cargo,5
Tbl_det_cobros,Id_Empresa,1
Tbl_det_cobros,Id_tipo_cobro,2
Tbl_det_cobros,Linea,4
Tbl_det_cobros,Num_docto_cobro,3
tbl_det_entrega_despacho,Id_empresa,1
tbl_det_entrega_despacho,Linea,3
tbl_det_entrega_despacho,Numero,2
Tbl_det_explosion,Id_transaccion_explosion,1
Tbl_Det_Facturacion,Autorizacion,3
Tbl_Det_Facturacion,Id_Caja,2
Tbl_Det_Facturacion,Id_Empresa,1
Tbl_Det_Facturacion,Id_Tipo,5
Tbl_Det_Facturacion,Linea,7
Tbl_Det_Facturacion,Numero,6
Tbl_Det_Facturacion,Serie,4
Tbl_Det_Facturacion_SProducto,Autorizacion,3
Tbl_Det_Facturacion_SProducto,Id_Caja,2
Tbl_Det_Facturacion_SProducto,Id_Empresa,1
Tbl_Det_Facturacion_SProducto,Id_Tipo,5
Tbl_Det_Facturacion_SProducto,Linea,7
Tbl_Det_Facturacion_SProducto,Linea_Detalle,8
Tbl_Det_Facturacion_SProducto,Numero,6
Tbl_Det_Facturacion_SProducto,Serie,4
Tbl_Det_Notas_Credito,Autorizacion,3
Tbl_Det_Notas_Credito,Id_Caja,2
Tbl_Det_Notas_Credito,Id_Empresa,1
Tbl_Det_Notas_Credito,Id_Tipo,5
Tbl_Det_Notas_Credito,Linea,7
Tbl_Det_Notas_Credito,Numero,6
Tbl_Det_Notas_Credito,Serie,4
Tbl_Det_Oferta,Id_empresa,1
Tbl_Det_Oferta,Id_producto,3
Tbl_Det_Oferta,Numero_oferta,2
Tbl_detalle_anticipos_clientes,Id_Empresa,1
Tbl_detalle_anticipos_clientes,Id_Numero_anticipo,2
Tbl_detalle_anticipos_clientes,numero_docto,5
Tbl_detalle_anticipos_clientes,serie,3
Tbl_detalle_anticipos_clientes,tipo_docto,4
Tbl_detalle_compras,Id_bodega,3
Tbl_detalle_compras,Id_empresa,1
Tbl_detalle_compras,Id_pedido,8
Tbl_detalle_compras,Id_recepcion,9
Tbl_detalle_compras,Id_tipo,4
Tbl_detalle_compras,Nit,7
Tbl_detalle_compras,Numero,6
Tbl_detalle_compras,Periodo,2
Tbl_detalle_compras,Serie,5
Tbl_Detalle_generacion_compra,Id_bodega,3
Tbl_Detalle_generacion_compra,Id_empresa,1
Tbl_Detalle_generacion_compra,Id_pedido,8
Tbl_Detalle_generacion_compra,Id_recepcion,7
Tbl_Detalle_generacion_compra,Nit,4
Tbl_Detalle_generacion_compra,Numero,6
Tbl_Detalle_generacion_compra,Periodo,2
Tbl_Detalle_generacion_compra,Serie,5
Tbl_detalle_importacion,Id_empresa,1
Tbl_detalle_importacion,Id_Pedido,2
Tbl_detalle_importacion,Linea,3
Tbl_Detalle_movimientos,Id_Bodega,3
Tbl_Detalle_movimientos,Id_Empresa,1
Tbl_Detalle_movimientos,Id_Producto,8
Tbl_Detalle_movimientos,Id_Tipo,4
Tbl_Detalle_movimientos,Linea,7
Tbl_Detalle_movimientos,Nit,6
Tbl_Detalle_movimientos,Numero,5
Tbl_Detalle_movimientos,Periodo,2
Tbl_Detalle_movimientos_sub,Id_Bodega,3
Tbl_Detalle_movimientos_sub,Id_Empresa,1
Tbl_Detalle_movimientos_sub,Id_Producto,7
Tbl_Detalle_movimientos_sub,Id_SProducto,8
Tbl_Detalle_movimientos_sub,Id_Tipo,4
Tbl_Detalle_movimientos_sub,Linea,6
Tbl_Detalle_movimientos_sub,Numero,5
Tbl_Detalle_movimientos_sub,Periodo,2
Tbl_detalle_orden_produccion,Id_Empresa,1
Tbl_detalle_orden_produccion,Id_Orden_produccion,2
Tbl_detalle_orden_produccion,Linea,3
Tbl_detalle_pedidos,Id_Empresa,1
Tbl_detalle_pedidos,Id_Pedido,2
Tbl_detalle_pedidos,Linea,3
Tbl_Division,Id_Transac_Division,1
Tbl_Ente_facturador,Id_Empresa,1
Tbl_Ente_facturador,Id_Ente_facturador,3
Tbl_Ente_facturador,Nit,2
Tbl_Estado_Orden,Id,1
Tbl_existencia,Id_Bodega,2
Tbl_existencia,Id_Empresa,1
Tbl_existencia,Id_Producto,4
Tbl_existencia,Periodo,3
Tbl_Flujo_Orden,Id,1
Tbl_grupo_cliente,Id_empresa,1
Tbl_grupo_cliente,Id_grupo_cliente,2
Tbl_importacion,Id_empresa,1
Tbl_importacion,Id_pedido,2
Tbl_impuesto_carburantes,Id_Empresa,1
Tbl_Info_Usuario,id,1
Tbl_insumos_servicios,Id_empresa,1
Tbl_insumos_servicios,Id_producto,2
Tbl_insumos_servicios,Id_Producto1,3
Tbl_inventario_fisico,Id_empresa,1
Tbl_inventario_fisico,Id_inventario,2
Tbl_inventario_fisico,Id_transac,3
Tbl_inventario_fisico_detalle,Id_empresa,1
Tbl_inventario_fisico_detalle,Id_inventario,2
Tbl_inventario_fisico_detalle,Id_linea,4
Tbl_inventario_fisico_detalle,Id_transac,3
Tbl_Linea,Id_Depto,2
Tbl_Linea,Id_Empresa,1
Tbl_Linea,Id_Linea,3
Tbl_Linea_Vehiculo,Id_Empresa,1
Tbl_Linea_Vehiculo,Id_Linea,3
Tbl_Linea_Vehiculo,Id_Marca,2
Tbl_Log_Orden_Compra_Proyecto,Id_Tbl_Log_Orden_Compra_Proyecto,1
Tbl_Log_Tbl_Proyecto_Estado,Id_Tbl_Log_Tbl_proyecto,1
Tbl_Marcas,Id_Empresa,1
Tbl_Marcas,Id_Marca,2
Tbl_mesero,ID_EMPRESA,1
Tbl_mesero,Id_mesero,2
Tbl_Mproyecto,Id_Transaccion_Mproyecto,1
Tbl_Orden_Cocina,Id,1
Tbl_Orden_Compra_Proyecto,Id_Orden_Compra_Proyecto,1
Tbl_Orden_Compra_Proyecto_Detalle,Id_Tbl_Orden_Compra_Proyecto_Detalle,1
Tbl_Orden_Servicio,Id_Empresa,1
Tbl_Orden_Servicio,Id_Orden,2
Tbl_Orden_Servicio_Detalle,Id_Empresa,1
Tbl_Orden_Servicio_Detalle,Id_Orden,2
Tbl_Orden_Servicio_Detalle,Linea,3
Tbl_Orden_Servicio_Detalle_Integracion,Id_Empresa,1
Tbl_Orden_Servicio_Detalle_Integracion,Id_Orden,2
Tbl_Orden_Servicio_Detalle_Integracion,Linea,3
Tbl_Orden_Servicio_Detalle_Integracion,Linea_det,4
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,correlativo,5
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,Id_Empresa,1
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,Id_Orden,2
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,Linea,3
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,Linea_det,4
Tbl_Ordenes,Id_Empresa,1
Tbl_Ordenes,Id_Orden,2
Tbl_Ordenes_Detalle,Id_alterno,3
Tbl_Ordenes_Detalle,Id_Empresa,1
Tbl_Ordenes_Detalle,Id_Orden,2
Tbl_pedidos,Id_Empresa,1
Tbl_pedidos,Id_Pedido,2
Tbl_plantilla_poliza,Id_empresa,1
Tbl_plantilla_poliza,Nombre_poliza,2
Tbl_plantilla_poliza_detalle,Id_empresa,1
Tbl_plantilla_poliza_detalle,Linea,3
Tbl_plantilla_poliza_detalle,Nombre_poliza,2
Tbl_Presupuesto_Orden_Servicio,Id_Empresa,1
Tbl_Presupuesto_Orden_Servicio,Id_Orden,2
tbl_presupuesto_orden_servicio_detalle,Id_Empresa,1
tbl_presupuesto_orden_servicio_detalle,Id_Orden,2
tbl_presupuesto_orden_servicio_detalle,Linea,3
Tbl_Presupuesto_Orden_Servicio_Detalle_Integracion,Id_Empresa,1
Tbl_Presupuesto_Orden_Servicio_Detalle_Integracion,Id_Orden,2
Tbl_Presupuesto_Orden_Servicio_Detalle_Integracion,Linea,3
Tbl_Presupuesto_Orden_Servicio_Detalle_Integracion,Linea_det,4
Tbl_presupuesto_servicio,Id_empresa,1
Tbl_presupuesto_servicio,Id_presupuesto,2
Tbl_presupuesto_servicio_detalle,Id_empresa,1
Tbl_presupuesto_servicio_detalle,Id_presupuesto,2
Tbl_presupuesto_servicio_detalle,linea,3
Tbl_Prod_Proveedores,Id_Empresa,1
Tbl_Prod_Proveedores,Id_Producto,2
Tbl_Prod_Proveedores,Nit,3
Tbl_produccion_diaria,Id_empresa,1
Tbl_produccion_diaria,Id_orden_produccion,3
Tbl_produccion_diaria,Id_transaccion_produccion,2
Tbl_producto_conversion,Id_conversion,2
Tbl_producto_conversion,Id_empresa,1
Tbl_Productos,Id_Empresa,1
Tbl_Productos,Id_Producto,2
tbl_productos_comisiones,Id_Empresa,1
tbl_productos_comisiones,Id_Producto,2
Tbl_productos_configuracion_contable,Id_Empresa,1
Tbl_productos_configuracion_contable,Id_Producto,2
Tbl_Proveedores,Id_Empresa,1
Tbl_Proveedores,Nit,2
Tbl_Proveedores_ctas,Id_Auxiliar,4
Tbl_Proveedores_ctas,Id_Cuenta,3
Tbl_Proveedores_ctas,Id_Depto,5
Tbl_Proveedores_ctas,Id_Empresa,1
Tbl_Proveedores_ctas,Nit,2
Tbl_Proyecto,Id_transaccion_Proyecto,1
Tbl_recepcion_pedidos,Id_empresa,1
Tbl_recepcion_pedidos,Id_pedido,3
Tbl_recepcion_pedidos,Id_recepcion,2
Tbl_recepcion_pedidos_detalle,Id_empresa,1
Tbl_recepcion_pedidos_detalle,Id_linea,4
Tbl_recepcion_pedidos_detalle,Id_pedido,3
Tbl_recepcion_pedidos_detalle,Id_recepcion,2
tbl_Recetas,id_transac,1
Tbl_reporte,Id_reporte,1
Tbl_Rubro_Proyecto,Id_Transaccion_Tbl_Rubro,1
Tbl_Series,Autorizacion,2
Tbl_Series,Id_Empresa,1
Tbl_Series_Por_Caja,Autorizacion,3
Tbl_Series_Por_Caja,Id_Caja,2
Tbl_Series_Por_Caja,Id_Empresa,1
Tbl_Series_Por_Caja,Id_Tipo,5
Tbl_Series_Por_Caja,Serie,4
Tbl_solicitud_despacho_cliente,Id_empresa,1
Tbl_solicitud_despacho_cliente,Id_solicitud_despacho,2
tbl_solicitud_Despacho_cliente_detalle,Id_empresa,1
tbl_solicitud_Despacho_cliente_detalle,Id_producto,4
tbl_solicitud_Despacho_cliente_detalle,Id_solicitud_despacho,2
tbl_solicitud_Despacho_cliente_detalle,Linea,3
Tbl_SProductos,Id_Empresa,1
Tbl_SProductos,Id_Producto,2
Tbl_SProductos,Id_SProducto,3
Tbl_SubRubro_Proyecto,Id_Transaccion_Tbl_Rubro_Proyecto,1
Tbl_Tipo_Vehiculos,Id_Empresa,1
Tbl_Tipo_Vehiculos,Tipo,2
Tbl_Tipos_Inv,Id_Empresa,1
Tbl_Tipos_Inv,Id_Tipo,2
Tbl_Unidad_Medida,Id_Empresa,1
Tbl_Unidad_Medida,Id_medida,2
Tbl_Vehiculos,Id_Empresa,1
Tbl_Vehiculos,Num_Placa,2
Tbl_Vendedores,Id_Empleado,2
Tbl_Vendedores,Id_Empresa,1
TBL_ZONA_CALIDA,id_transac,1
TblFacturaTCProcesamientos,Id,1
TblOpcion,Id,1
TblRolOpcion,Id,1

(394 rows affected)
